lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,room_type_reserved,type_of_meal_plan,booking_status
5,2,3136,5,3,4,2,0,3,0,1
15,0,1785,12,15,2,1,0,4,0,1
44,1,200,3,4,4,6,2,0,0,1
4,0,770,2,19,2,1,0,0,0,0
109,0,2848,8,24,4,4,0,3,0,0
62,3,2803,9,14,4,4,1,3,0,1
1,0,309,12,27,4,1,0,0,3,1
162,0,2520,5,11,4,3,0,3,0,0
103,0,1979,4,19,3,2,0,0,0,0
6,1,2393,3,23,4,3,0,0,3,1
153,1,1450,7,23,4,2,2,0,0,1
28,0,855,10,15,4,3,0,0,0,1
32,0,2305,5,8,4,1,2,0,0,0
0,0,2602,10,20,4,1,0,0,0,1
35,0,2871,5,27,4,2,1,3,0,0
38,0,2288,10,2,4,2,2,0,0,1
85,0,3138,8,24,4,1,0,3,0,1
11,1,1114,4,10,2,0,1,3,0,1
5,1,2914,6,21,4,2,0,3,0,1
101,0,770,4,4,3,2,1,0,0,0
80,1,2076,8,12,4,2,0,0,0,1
273,0,1302,5,13,3,2,1,0,0,0
95,1,2643,5,22,4,3,2,3,0,0
46,0,582,10,30,3,1,2,0,0,1
117,2,2292,5,22,4,3,2,0,0,1
39,1,2540,3,12,4,3,2,3,1,1
13,0,1966,2,29,4,3,1,0,1,1
219,0,1751,9,4,4,1,0,0,1,0
0,0,559,5,16,4,0,1,0,3,1
84,0,341,4,12,4,6,2,0,0,0
9,1,2306,2,13,4,1,2,3,0,1
0,2,0,3,17,1,1,0,3,0,1
305,0,1077,11,4,3,2,1,0,0,0
13,0,1819,9,20,2,3,0,3,0,0
69,0,195,3,20,3,2,2,0,0,1
16,1,1073,3,3,4,3,1,3,0,1
1,2,1857,2,26,4,2,0,0,0,1
85,1,2930,3,24,4,3,2,5,0,0
140,2,644,8,10,4,6,3,0,0,1
99,0,800,2,19,2,1,0,0,0,1
273,0,1011,7,17,3,2,0,0,1,1
3,0,1302,4,29,3,2,2,0,0,1
32,0,937,7,18,3,1,1,0,0,1
92,2,627,8,6,3,3,0,0,0,1
9,1,2964,10,4,4,2,0,0,0,1
39,0,2381,9,25,4,0,1,0,0,1
6,0,292,11,24,2,1,0,0,0,1
31,1,2377,8,23,4,5,2,0,0,1
141,1,1636,5,15,4,2,2,0,0,1
174,0,2642,10,4,4,4,0,3,0,0
37,0,1286,9,16,4,2,0,0,0,1
65,0,201,2,10,3,3,0,0,0,1
43,0,2241,7,19,4,3,0,0,0,0
18,0,1837,9,18,4,2,2,0,0,0
56,0,2268,9,11,4,1,2,0,3,0
386,1,1979,10,23,3,0,2,0,1,0
51,0,2607,9,3,4,2,2,3,0,0
19,0,2085,9,19,3,0,1,0,0,0
0,0,292,2,22,2,2,1,0,0,1
11,0,1114,6,14,2,3,0,3,0,1
